text,Label
bayangkan kalau kadada cctv warga nang dijebak pasti sudah temasuk dalam penjara keluarganya langsung jatuh miskin,0
sagan apa naik pangkat,0
ini hanyar nang ketahuan balum lagi nang kada ketahuan kasihan masyarakat dijabak kaitu untungnya ada cctv ngaran handak ditampaikan lawan urang banyak mudahan jara sagan oknum pulisi nang lain menjabak masyarakat kaya itu kasian masyarakat kada berdaya sakahandak bubuhan polisi kaitu jaka kada masuk penjara jakanya kadada cctv,0
handak komen tapi takutan jadi target mbah ni,0
Kaini banar menyasah target nya oknum oknum,0
jangan dicabut wara tatapi masukakan penjara ja tuh,0
miris banar kelakuan oknum polisi nang kaya ini seharusnya melayani wan mengayomi tapi menjabak masyarakat nang kada bersalah,0
yakin lah dicabut,0
rusaknya kepercayaan,0
rancak banar dah ni kejadian di namakan cari kepala bujur kada kawan,0
dicopot bukan berarti dipecat,0
maksdunya nang kada salah jadi tumbal,0
cabut jadi pulisinya lain cabut jabatanya komandan ,0
bujuran pemadahan,0
percayalah dicabut ,0
kaya buhan sales jua lah handak menyasah target supaya naik,0
Banyak kam nang dijabak kaitu wan pak pol buhannya kisah kisah menggeledah awak mbah tu sabu nya dimasukakan ka kantong selawar untung ja kasusnya ni ada cctvnya,0
rahasia umum dicabut masih bagajih pecat haja,0
nang kaini pang kada tau apa apa lalu ditangkap,0
hapok,1
kaplores nya membantah ujar rajin suruhan kapolres nya jua kasat narkoba nya jujur,1
kehandak naik jabatan culas lalu woy,0
kalo kadada cctv wan kada viral beda kisah lagi dah cabut gin dulu to,0
salam dari binjay,0
kada takajut wan dramanya sekira sales capai target ,0
wah kasihan masyarakat nang bujur jadi tetangkap mungkin ini hanya sepalih wara nang ketahuan kaya apa nang lain kada bisi bukti pasti banyak nang kaitu kada bersalah malah jadi tetangkap malah luntur kepercayaan masyarakat kemana lagi harus beadu,
bisa jua di pindah,0
lawas dah model kaini syukur ada cctv,0
kasus kaya lagi hibak semalam di tiktok itu trik polisi biar naik jabatan,0
gila jabatan mungkin wal ai,1
han ketahuan lo sudah untung ada cctv,0
pas viral haja hanyar ada tindakan coba semisanya kadada cctv wan kada viral auto naik pangkat tu pulisinya ngerinya ai fitnahnya zaman wahini salam dari binjai,0
hm,0
salam dari binjai,0
lawas dah oknum polisi modus kaya ini kebetulan haja viral lain rahasia lagi,0
salam dari binjai,0
kenapa kada dipecat ini malah dicabut wara lebih meresahkan daripada begal oknum pulisinya soalnya bahaya banar warga nang kada tahu menahu dijebak pakai sabu gegara handak naik jabatan kah jadi warga sipil jadi tumbal,0
di kriminalisasi dasar kami sudah kada percaya lagi lembaga polisi,1
rancak dah mendangar,0
rancak dah mendangar,0
pecat ja gin mungkin ini sebagian kasus nang teungkap,0
oh jadi kaitu,0
syukur ada cctv,0
cctv sang penyelamat warga semisanya kadada cctv pasti dah tamasuk di dalam penjara mudahan ai oknum polisi nang menjebak itu bujur di cabut wan kalo perlu dimasukan ka dalam penjara sebagai hukuman pelaku kejahatan karana sudah menjebak warga nang kada bersalah,0
haha loco,0
tumbal pulisi,0
syukur ada si cctv lah jakanya kadada tahukum wara kosong jar kada tahu nang kawan manimbai,0
maksudnya dicabut tuh nang ampih jadi kasat narkoba jadi anggota biasa atau dicabut di pecat mohon pencerahan ny salam dari binjai,0
pulisi pengayom masyarakat,0
capai target,0
untung ada cctv,0
dunia dunia,0
masih ada haja oknum kaya itu miris mun dasar kaya itu,0
di pecat haja kaitu,0
yakin lah,0
sudah rahasia umum nang kaini cuma banyak korban pasrah karana kadada bukti wan saksi,0
nang ditangkap diunjuk barang kaitu santai banar pemain kah,0
kada heran,0
hidup kada dunia wara pak sebarataan ada ja pertanggungjawabannya,0
hati hati kita kawa jua jadi korban nya mun sudah kaini instansi polisi masih kawa di percaya kah,0
sudah tahu masyarakat cuma diam wara,0
ulun kisah bungul haja oh kaitu kah caranya inggih gin umpati alurnya aja,1
paling dipindah,0
keji dan licik banar olah oknum pulisi ini coba bayangkan berapa banyak nang kada terekam cctv,1
suah main pilim apa haja polisinya harat banar aktingnya,0
tega banar,0
kesah nang tesilip,0
hilangnya kepercayaan masyarat lawan pak polisi bisa jadi ini salah satu dari beberapa kasus nang lain,0
nah ada cctv wan viral kalo kada viral pang,0
takana nasib sial ada cctv ja ngintu tukar kepala sudah biasa,0
lahan embun,0
selain disabut dari jabatannya oknum atasan wan buhan bawahannya harus dibari sanksi pemecatan wan jua sanksi pidana karana nyata kelakuan buhannya sudah mencoreng institusi polri,0
asa lawas dah nang kaini kalo kada ngaku bonyok kalo ngaku bonyok jua wkwkw,0
rahasia umum,0
polisi lagi pulisi lagi,0
supaya kelihatan begawian haha,0
nang jadi takunan itu narkoba ampun siapa cuma jadi alat sagan menjabak,0
dicabut ja pulisi nya beisi sabu berarti,0
itu kena biar ada laporan lawan komandan pusat bahawa bandar narkoba sudah kami lanyapakan padahal nang kelas kakap masih berkeliaran mun menangkap nang kelas kakap biasanya kadada lagi pemasukan,0
hanyar tahu sekalinya kaya ini cara rigat oknum pulisi meulah warga nang kada bersalah terjebak timbul tekesan menjadi pemakai narkoba,0
kada heran,0
bah bearti selawasan ni hanya ah sudah gin cctv jua dah pahlawan sebujurnya,0
astaghfirullah ternyata ada oknum polisi nang jahat kaitu ulun kada menyangka teulah dari apa lah hatinya bisa tega banar kaitu kelakuan nang merigatakan nama baik kepolisan,0
lebih kejam dari perampok oknum polisi ini memeras rakyat nang kada berdosa semoga para kapolda di indonesia bisa membrantas oknumoknum yang seperti ini,0
kenapa jahat,0
Hau sekira dapat prestasi kaitu kah jadi mamfitnah urang,0
ini nang maulah masyarakat kada tapi percaya wan pak pulisi garagara oknum nama besar jadi kada baik ,0
perangi narkoba ,0
mantab banar kapolda nya lah ni cara kaitu banyak dah nang kena imbasnya kasihan nang kada bisis salah masyarakat kada bedaya,0
siapa ampun sabunya itu tahu dapat darimana hitung pengedar wan penjebak gila menghalal kan cara  apa haja demi duit,0
Ey ngerinya wani banar kaitu tikus got,1
polisi india ,0
untuk anggotanya langsung pecat ja gin dah masukkan ka penjara masa aparat hukum melakukan hal nang melanggar hukum sagan atasannya diperiksa bujur kada umpat andil amunnya umpat jua langsung pecat secara kada hormat untung warganya nih pintar malihati cctv ini ngarannya penjahat kesah pahlawan,0
tangkap haja masukakan panjara gabung wan bubuhan kriminal narkoba,0
pernah kejadian lawan sepupu ulun bahkan anggota pol nya sampai bayar urang sagan membantui aksinya sayang nya kadada cctv banar ae nang menulung makanya jar abah ulun hati hati bila bekawan diluar tu khusus nya nang bisi kekanakan lakian kalo rahatan jadi tumbal nya banar ae,0
bah inggih,0
makasih cctv amunnya kadada cctv kaya apa kah,0
oknum setan,1
jahat banar,0
kana tumbul wara sekali nya tuhan adil haja ketahuaan nang bujur wan kadanya salam dari binjai,0
nang bersangkutan tulung dipindahkan ka ujung dunia sana tuntung am,0
beurusan di akhirat aja kena,0
blok,0
kisah lawas,0
cctv dilawan,0
merusak nama kepolisian haja ni oknum kada berkah gajinya,0
buah binjai,0
pecat gin,0
biasanya sih maling nang bungul kalo beraksi kada sadar ada cctv lah ini malah oknum aparat nya nang bungul,1
asli,0
kadanya menuduh tatapi remaja itu menukar sabu jua jadi keduanya salah pembeli dan pengedar ditambah pulang oknum polisinya nang sengaja menangkap pemakai pengedar dilapasakan,0
bujur jua lah nang pakai motor putih malah dibiarkan lolos maka inya nang membari barang nya,0
kaitu ja kah bisanya,0
dicabut wara kada dipecat,0
perwakilan dari binjai bagaimana pendapat pian ,0
Mudahan haja kadada lagi kasus nang mirip sebelumnya didaerah nya tu atawa didaerah lain mudahan ai ini kejadian nang pertama wan terakhir terkait kriminalisasi karana jaka kada maka merugikan banar masyarakat demi mencari keuntungan surangan dengan cara manjabak masyarakat sipil,0
oknum tarus,0
banyak kasus kaya ini pak kapolda ae nang kasian itu nang di tangkap anam tahun mendekam di penjara sementara nang menangkap tu am bahagia di atas penderita urang ,0
tesasat oh tesasat itu makanya kalo makan duid haram,0
hati kawan berkomentar negatif karana mata sosmed banyak pengintaian akan dijerat uu ite,0
jahat banar pahatian,0
sabunya nukar dimana woy,0
jurus rigat kaitu rancak kejadian di tkp,0
